course code,course title,ATTRIBUTES,EXCLUSION,DESCRIPTION,PRE-REQUISITE,CO-REQUISITE,VECTOR,PREVIOUS CODE,INTENDEDLEARNINGOUTCOMES,CO-LIST WITH,ALTERNATE CODE(S)
ACCT 1610,ACCT 1610 - Laws in Society and Business (3 units),Common Core (SA) for 36-credit program,ACCT 3610,"This course provides an introduction to law and business society. Topics include general introduction to the concepts in law; an introduction to the Hong Kong legal system under the principle of ""one country, two systems""; copyright law; trademark law; agency law; insolvency law; employment law and business ethics. As Hong Kong is a well-developed business society, this course is intended to build students' understanding of the relationship between the law and the society and discuss laws in society and business.",,,,,,,
ACCT 2200,ACCT 2200 - Principles of Accounting II (3 units),,,"For SB&M students, and programs that designate the course as a required/specified elective course. This is the second course of the principles of accounting sequence. It introduces concepts, accounting methods, and analytical tools related to managerial and cost accounting. Topics include fundamental cost concepts, job-order and process costing systems, CVP analysis, budgets and standards, segment reporting, and decision-making using cost information.",(for non-BIBU students) ACCT 2010,,,,,,
ACCT 3020,ACCT 3020 - Financial Accounting II (3 units),,ACCT 3030,"Continuation of ACCT 3010. Special problems in accounting for owner's equity and long-term liabilities including corporate bonds, leases, deferred taxation and pensions.",ACCT 3010,,,,,,
ACCT 3210,ACCT 3210 - Advanced Management Accounting (3 units),,,"This course covers advanced quantitative methods for management decision-making (decision trees, linear regression, learning curves, and linear programming), pricing and transfer pricing decisions, allocation of common and joint costs, variance analysis, performance measurement and incentive compensation.",ACCT 2200,,,,,,
ACCT 3610,ACCT 3610 - Business Law (3 units),,,"This course is to provide students with an awareness of the overall legal framework in which businesses in Hong Kong operate so as to enable them to apply the relevant laws and practices to business problems and practical solutions. The main objective is to give students an understanding of how the society and business function in different socio-legal contexts like the legal system and process and its influence on citizensâ social rights and duties; the enforcement and honoring of agreement between private citizens, the use of business organizations in commercial society, the relationship between employee and employer from social and legal perspectives, the growing importance of business ethics and corporate social responsibilities etc.",,,,,,,
ACCT 4410,ACCT 4410 - Taxation (3 units),,,"The Hong Kong taxation system and its administration; taxation of individuals, partnerships and corporations; stamp duty; obligations compliance.",,ACCT 3010 AND ACCT 3610,,,,,
ACCT 4610,ACCT 4610 - Company Law (3 units),,,Law relating to companies registered in Hong Kong; company formation and records; share and loan capital; management and administration; reconstructions; mergers and take-overs; liquidation and receivership.,ACCT 3610,,,,,,
ACCT 4710,ACCT 4710 - Accounting Analytics for Professional Accountants (3 units),,,"Data analytics is reshaping the work of accountants. Applications of data analytics in accounting including: Auditing/Assurance - data analytics techniques used by accounting professionals and auditors nowadays to detect fraud and conduct forensic accounting. Enhancing Financial Reporting: more sophisticated data analytics tools can allow companies to link diverse financial and non-financial datasets and provide more comprehensive and rigorous financial reports to stakeholders. Managing risks: data analytics techniques such as continuous auditing and continuous monitoring can help accounting professionals assess and manage relevant risk levels within their organization. This course aims to provide students with knowledge of the nature and role of data analytics and enable students to apply and understand data analytics technologies to perform audit, enhance financial reporting, and minimize risks as accounting professionals.",ACCT 2010 AND ISOM 2010,,,,,,
ACCT 4720,ACCT 4720 - Equity Investment with Machine Learning (3 units),,,"This course is designed for students interesting in the investment management business, especially for those who aspire to learn the application of quantitative and machine learning technology in equity investing. The course will cover a wide range of topics in equity investing, including quantitative investment process, multi-factor stock-selection models, portfolio construction methods, performance evaluation, and an introduction of applications of AI/machine learning technology in equity investing. This is a very hands-on course. Students will be required to conduct quantitative and machine learning analyses using Python. Prior knowledge in capital markets and python programing is required. For students in their third year of study and above.",ACCT 2010 AND ISOM 3400,,,,,,
ACCT 4980A,ACCT 4980A - Independent Study (1 unit),,,Directed study of selected problems in accounting not covered in other courses.,,,,,,,
ACCT 5140,ACCT 5140 - Financial Statement Analysis (2 units),,,"Integrated analysis of industry strategy, accounting policy, financial ratios and cash flows for application in equity valuation, credit analysis and bond ratings.  Essential for those planning careers in financial management, investment analysis, credit analysis, business valuation, and consulting.",ACCT 5100 OR ACCT 5150 OR Equivalent,,[2-0-0:2],ACCT 514,"On successful completion of the course, students will be able to:1.Use alternative measures of profitability and financial ratios to evaluate firm performance and identify investment targets. 2.Use financial ratios and price multiples to determine the timing of investment.3.Use financial ratios to forecast financial statements and conduct credit analysis.4.Understand how managers can use discretions in accounting method choices and estimates to influence financial statements and how to make adjustment to conduct meaningful comparisons.5.Understand the difference between net income and cash flow from operations and how to use it and other indicators to detect accounting manipulation.",,
ACCT 5180,ACCT 5180 - Advanced Corporate Financial Reporting (2 units),,,"Reporting of business entities with inter-corporate investments in subsidiaries and/or associated companies and cross-border activities. Topics include business combinations, consolidated financial statements, equity accounting, and translations of foreign currency transactions.",ACCT 5160 AND ACCT 5170,,[2-0-0:2],,"On successful completion of the course, students will be able to:1.Apply International Financial Reporting Standards (IFRSs) for:
a) consolidating the financial statements of parent and subsidiary companies, including those subsidiaries which are wholly-owned and partially-owned;
b) reporting investment in other companies using equity accounting;
c) translating foreign currency transactions and operations, and reporting the effect on financial statements.2.Discuss financial reporting practices by referring to the Conceptual Framework.3.Explain the international dimensions of accounting.4.Assess financial strategies and risk management policies of business entities with inter-corporate investments that convey control and/or significant influence and cross-border activities.5.Demonstrate the roles of accountants in providing and ensuring the integrity of financial and related information.6.Identify ethical challenges, creative accounting, and earnings management issues, and point out ethical and social responsibility of entities.7.Analyze financial reporting issues, and propose and explain solutions thereof, in a team environment.",,
ACCT 5210,ACCT 5210 - Managerial Accounting Foundations (2 units),[BLD] Blended learning,IMBA 5060,"Use of accounting data in decision-making, financial planning, control, and performance evaluation within organizations.",,,[2-0-0:2],ACCT 521,"On successful completion of the course, students will be able to:1.Interpret and explain cost concepts and related terms. 2.Interpret cost-volume-profit analysis. 3.Estimate the cost and price of a product.4.Apply core managerial accounting information to strategic decision making.5.Identify the internal budgeting process. 6.Construct cost management tools such as Activity-Based Costing. 7.Organize managerial accounting information to conduct performance evaluations.8.Identify managerial accounting information as a competitive tool. ",,
ACCT 5220,ACCT 5220 - International Treasury Management (2 units),,,"Specialized knowledge in international treasury operation and management control, risk management, inflation and foreign currency changes as well as international transfer pricing.",,,[2-0-0:2],,"On successful completion of the course, students will be able to:1.Facilitate students to topics related to treasury management and its international issues.2.Expose students to working capital management and related international financial management issues.3.Facilitate students to financial statement issues related foreign currency translation in consolidated financial statements and inflation restatement in price level changes.4.Expose students to international transfer pricing issues related to international duty and tax.5.Expose students to management internal control and risk management issues in international field.6.Facilitate students to management control related to international management accounting issues.",,
ACCT 5320,ACCT 5320 - Beyond the Headlines: Financial Reporting and Valuation Issues in M&A (2 units),,,"Financial accounting is the fundamental language used to express the economic realities of complex financial scenarios including mergers & acquisitions (M&A) and corporate divestitures. Understanding this language is crucial for converting financial statement data into decision enhancing information, and expressing strategic business plans and investment ideas in a powerful and convincing way. The course is designed to develop sophisticated users of financial accounting information and will benefit any student who desires to increase his or her ability to understand and profitably exploit financial information. The class format involves a mixture of lecture and class discussion.",ACCT 5100 OR (ACCT 5160 AND ACCT 5170),,[2-0-0:2],ACCT 6900C,"On successful completion of the course, students will be able to:1.Differentiate implications for firms operating under various influence and control situations.2.Recognize the latest financial reporting rules for M&A deals.3.List tax structuring and tax implications of M&A deals.4.Analyze M&A risk management including earn-outs, contingent value rights, and collars.",,
