course code,Section,Date & Time,Room,Instructor,Quota,Enrol,Avail,Wait,Remarks
ACCT 1610,L1 (1031),MoWe 09:00AM - 10:20AM,"Rm 2406, Lift 17-18 (76)","TAN, Jing",75,73,2,0,
ACCT 2200,L01 (1032),TuTh 03:00PM - 04:20PM,"G009A, CYT Bldg (80)","WANG, Emily",75,74,1,0,
ACCT 2200,L02 (1033),TuTh 10:30AM - 11:50AM,"G009A, CYT Bldg (80)","WANG, Emily",75,75,0,0,
ACCT 2200,L03 (1034),TuTh 04:30PM - 05:50PM,"G009A, CYT Bldg (80)","WANG, Emily",75,75,0,0,
ACCT 2200,L04 (1035),MoWe 10:30AM - 11:50AM,"G012, LSK Bldg (199)","LI, Xinlei",75,75,0,0,
ACCT 2200,L05 (1036),MoWe 12:00PM - 01:20PM,"G012, LSK Bldg (199)","LI, Xinlei",75,75,0,0,
ACCT 2200,L06 (1037),Mo 03:00PM - 04:20PM Fr 10:30AM - 11:50AM,"Rm 1011, LSK Bldg (80) Rm 1011, LSK Bldg (80)","LEUNG, Patrick LEUNG, Patrick",75,46,29,0,
ACCT 2200,L07 (1038),Mo 04:30PM - 05:50PM Fr 12:00PM - 01:20PM,"Rm 1011, LSK Bldg (80) Rm 1011, LSK Bldg (80)","LEUNG, Patrick LEUNG, Patrick",75,43,32,0,
ACCT 2200,L08 (1039),Mo 01:30PM - 02:50PM Fr 09:00AM - 10:20AM,"Rm 1011, LSK Bldg (80) Rm 1011, LSK Bldg (80)","LEUNG, Patrick LEUNG, Patrick",75,33,42,0,
ACCT 2200,L09 (1040),TuTh 01:30PM - 02:50PM,"G009A, CYT Bldg (80)","PETROV, Evgeny",75,75,0,0,
ACCT 2200,L10 (1041),TuTh 12:00PM - 01:20PM,"G009A, CYT Bldg (80)","PETROV, Evgeny",75,75,0,0,
ACCT 2200,L11 (1042),TuTh 09:00AM - 10:20AM,"G009A, CYT Bldg (80)","PETROV, Evgeny",75,73,2,0,
ACCT 2200,L12 (1043),WeFr 01:30PM - 02:50PM,"Rm 1014, LSK Bldg (80)","CHEUNG, Kwok Yip",75,75,0,0,
ACCT 2200,L13 (1044),WeFr 03:00PM - 04:20PM,"Rm 1014, LSK Bldg (80)","CHEUNG, Kwok Yip",76,76,0,0,
ACCT 3020,L1 (1045),TuTh 12:00PM - 01:20PM,"Rm 1007, LSK Bldg (80)","YANG, Daniel G.",79,79,0,0,
ACCT 3020,L2 (1046),TuTh 03:00PM - 04:20PM,"Rm 1007, LSK Bldg (80)","YANG, Daniel G.",73,71,2,0,
ACCT 3020,L3 (1047),TuTh 01:30PM - 02:50PM,"Rm 1007, LSK Bldg (80)","YANG, Daniel G.",70,52,18,0,
ACCT 3210,L1 (1048),TuTh 04:30PM - 05:50PM,"Rm 1034, LSK Bldg (80)","MORRIS, Arthur",70,53,17,0,
ACCT 3210,L2 (1049),TuTh 10:30AM - 11:50AM,"Rm 1007, LSK Bldg (80)","MORRIS, Arthur",78,78,0,0,
ACCT 3210,L3 (1050),TuTh 01:30PM - 02:50PM,"Rm 1010, LSK Bldg (80)","MORRIS, Arthur",70,69,1,0,
ACCT 3610,L1 (1051),MoWe 12:00PM - 01:20PM,"Rm 2406, Lift 17-18 (76)","TAN, Jing",75,75,0,0,
ACCT 3610,L2 (1052),MoWe 10:30AM - 11:50AM,"Rm 2406, Lift 17-18 (76)","TAN, Jing",75,60,15,0,
ACCT 4410,L1 (1053),Mo 01:30PM - 02:50PM Fr 09:00AM - 10:20AM,"Rm 2303, Lift 17-18 (91) Rm 2303, Lift 17-18 (91)","MAK, Kelvin P MAK, Kelvin P",70,68,2,0,
ACCT 4410,L2 (1054),Mo 03:00PM - 04:20PM Fr 10:30AM - 11:50AM,"Rm 2303, Lift 17-18 (91) Rm 2303, Lift 17-18 (91)","MAK, Kelvin P MAK, Kelvin P",72,72,0,0,
ACCT 4410,L3 (1055),Mo 04:30PM - 05:50PM Fr 12:00PM - 01:20PM,"Rm 2303, Lift 17-18 (91) Rm 2303, Lift 17-18 (91)","MAK, Kelvin P MAK, Kelvin P",70,40,30,0,
ACCT 4610,L1 (1056),WeFr 04:30PM - 05:50PM,"G012, LSK Bldg (199)","LAI, Tai Wai David",70,34,36,0,
ACCT 4610,L2 (1057),WeFr 01:30PM - 02:50PM,"Rm 1034, LSK Bldg (80)","LAI, Tai Wai David",70,66,4,0,
